"","gen","A1A1","A1A2","A2A2"
"1",1,147015,2970,15
"2",2,147012.059773506,2972.91051238734,15.0297141069238
"3",3,147009.11669518,2975.82381804317,15.0594867772636
"4",4,147006.170762343,2978.73991953145,15.0893181255543
"5",5,147003.221972315,2981.65881941828,15.1192082665526
"6",6,147000.270322413,2984.58052027186,15.1491573152368
"7",7,146997.315809951,2987.50502466254,15.1791653868073
"8",8,146994.358432241,2990.43233516277,15.2092325966873
"9",9,146991.398186592,2993.36245434715,15.239359060523
"10",10,146988.435070313,2996.29538479237,15.2695448941841
"11",11,146985.469080709,2999.23112907729,15.2997902137641
"12",12,146982.500215082,3002.16968978287,15.3300951355809
"13",13,146979.528470732,3005.11106949222,15.3604597761772
"14",14,146976.553844957,3008.05527079057,15.3908842523209
"15",15,146973.576335054,3011.0022962653,15.4213686810052
"16",16,146970.595938315,3013.9521485059,15.4519131794498
"17",17,146967.612652031,3016.90483010401,15.4825178651004
"18",18,146964.626473491,3019.86034365341,15.51318285563
"19",19,146961.637399981,3022.81869175002,15.5439082689386
"20",20,146958.645428785,3025.77987699189,15.5746942231542
"21",21,146955.650557184,3028.74390197921,15.6055408366327
"22",22,146952.652782458,3031.71076931433,15.6364482279589
"23",23,146949.652101882,3034.68048160173,15.6674165159465
"24",24,146946.648512732,3037.65304144804,15.6984458196387
"25",25,146943.64201228,3040.62845146202,15.7295362583087
"26",26,146940.632597794,3043.60671425461,15.7606879514599
"27",27,146937.620266542,3046.58783243888,15.7919010188265
"28",28,146934.60501579,3049.57180863004,15.8231755803742
"29",29,146931.586842798,3052.55864544546,15.8545117563
"30",30,146928.565744828,3055.54834550468,15.8859096670332
"31",31,146925.541719137,3058.54091142937,15.9173694332357
"32",32,146922.514762981,3061.53634584336,15.9488911758022
"33",33,146919.484873611,3064.53465137265,15.980475015861
"34",34,146916.45204828,3067.53583064538,16.0121210747741
"35",35,146913.416284234,3070.53988629186,16.0438294741381
"36",36,146910.37757872,3073.54682094456,16.0756003357839
"37",37,146907.33592898,3076.55663723811,16.1074337817781
"38",38,146904.291332256,3079.56933780931,16.1393299344226
"39",39,146901.243785787,3082.5849252971,16.1712889162554
"40",40,146898.193286807,3085.60340234261,16.2033108500514
"41",41,146895.139832552,3088.62477158913,16.235395858822
"42",42,146892.083420252,3091.64903568211,16.2675440658164
"43",43,146889.024047136,3094.67619726919,16.2997555945215
"44",44,146885.961710431,3097.70625900015,16.3320305686626
"45",45,146882.896407361,3100.73922352696,16.3643691122038
"46",46,146879.828135147,3103.77509350377,16.3967713493484
"47",47,146876.756891009,3106.8138715869,16.4292374045393
"48",48,146873.682672163,3109.85556043482,16.4617674024598
"49",49,146870.605475824,3112.90016270821,16.4943614680337
"50",50,146867.525299204,3115.94768106992,16.5270197264256
"51",51,146864.442139512,3118.99811818496,16.559742303042
"52",52,146861.355993956,3122.05147672056,16.5925293235311
"53",53,146858.26685974,3125.10775934608,16.6253809137836
"54",54,146855.174734067,3128.16696873311,16.6582971999333
"55",55,146852.079614136,3131.22910755539,16.6912783083569
"56",56,146848.981497145,3134.29417848888,16.7243243656753
"57",57,146845.88038029,3137.36218421169,16.7574354987536
"58",58,146842.776260761,3140.43312740414,16.7906118347013
"59",59,146839.66913575,3143.50701074874,16.8238535008736
"60",60,146836.559002445,3146.58383693018,16.8571606248711
"61",61,146833.44585803,3149.66360863536,16.8905333345403
"62",62,146830.329699689,3152.74632855334,16.9239717579747
"63",63,146827.210524601,3155.83199937542,16.9574760235147
"64",64,146824.088329945,3158.92062379505,16.991046259748
"65",65,146820.963112897,3162.01220450791,17.0246825955107
"66",66,146817.834870628,3165.10674421186,17.0583851598869
"67",67,146814.703600311,3168.20424560698,17.0921540822101
"68",68,146811.569299112,3171.30471139551,17.1259894920628
"69",69,146808.431964199,3174.40814428195,17.1598915192776
"70",70,146805.291592733,3177.51454697295,17.1938602939373
"71",71,146802.148181876,3180.62392217739,17.2278959463756
"72",72,146799.001728786,3183.73627260637,17.2619986071776
"73",73,146795.85223062,3186.85160097315,17.2961684071799
"74",74,146792.699684529,3189.96990999326,17.3304054774715
"75",75,146789.544087666,3193.09120238438,17.3647099493941
"76",76,146786.385437179,3196.21548086644,17.3990819545427
"77",77,146783.223730214,3199.34274816157,17.4335216247657
"78",78,146780.058963914,3202.47300699411,17.468029092166
"79",79,146776.89113542,3205.60626009063,17.5026044891008
"80",80,146773.720241872,3208.74251017989,17.5372479481825
"81",81,146770.546280405,3211.88175999289,17.5719596022794
"82",82,146767.369248153,3215.02401226283,17.6067395845155
"83",83,146764.189142247,3218.16926972515,17.6415880282714
"84",84,146761.005959815,3221.31753511749,17.676505067185
"85",85,146757.819697985,3224.46881117972,17.7114908351516
"86",86,146754.63035388,3227.62310065395,17.7465454663244
"87",87,146751.43792462,3230.78040628449,17.7816690951152
"88",88,146748.242407326,3233.94073081788,17.8168618561949
"89",89,146745.043799113,3237.10407700291,17.8521238844937
"90",90,146741.842097094,3240.27044759056,17.8874553152019
"91",91,146738.637298382,3243.43984533407,17.9228562837702
"92",92,146735.429400085,3246.61227298891,17.9583269259102
"93",93,146732.21839931,3249.78773331276,17.9938673775952
"94",94,146729.004293159,3252.96622906555,18.0294777750602
"95",95,146725.787078736,3256.14776300944,18.0651582548027
"96",96,146722.566753138,3259.33233790883,18.1009089535831
"97",97,146719.343313461,3262.51995653035,18.1367300084253
"98",98,146716.116756801,3265.71062164288,18.1726215566171
"99",99,146712.887080247,3268.90433601753,18.2085837357108
"100",100,146709.654280889,3272.10110242764,18.2446166835234
"101",101,146706.418355813,3275.30092364882,18.2807205381375
"102",102,146703.179302103,3278.5038024589,18.3168954379017
"103",103,146699.937116841,3281.70974163796,18.3531415214308
"104",104,146696.691797104,3284.91874396833,18.3894589276067
"105",105,146693.44333997,3288.13081223459,18.4258477955786
"106",106,146690.191742512,3291.34594922355,18.4623082647638
"107",107,146686.937001801,3294.56415772429,18.498840474848
"108",108,146683.679114906,3297.78544052814,18.5354445657857
"109",109,146680.418078894,3301.00980042866,18.572120677801
"110",110,146677.153890827,3304.23724022169,18.608868951388
"111",111,146673.886547767,3307.46776270531,18.645689527311
"112",112,146670.616046774,3310.70137067985,18.6825825466057
"113",113,146667.342384902,3313.93806694791,18.7195481505789
"114",114,146664.065559205,3317.17785431434,18.7565864808097
"115",115,146660.785566735,3320.42073558625,18.7936976791495
"116",116,146657.502404539,3323.66671357302,18.830881887723
"117",117,146654.216069665,3326.91579108628,18.8681392489281
"118",118,146650.926559155,3330.16797093993,18.905469905437
"119",119,146647.63387005,3333.42325595013,18.9428740001964
"120",120,146644.337999388,3336.6816489353,18.9803516764283
"121",121,146641.038944206,3339.94315271614,19.0179030776298
"122",122,146637.736701537,3343.20777011561,19.0555283475748
"123",123,146634.431268411,3346.47550395894,19.0932276303134
"124",124,146631.122641856,3349.74635707363,19.1310010701729
"125",125,146627.810818899,3353.02033228945,19.1688488117586
"126",126,146624.495796562,3356.29743243844,19.2067709999536
"127",127,146621.177571865,3359.57766035494,19.2447677799202
"128",128,146617.856141827,3362.86101887552,19.2828392970996
"129",129,146614.531503464,3366.14751083906,19.320985697213
"130",130,146611.203653787,3369.43713908671,19.3592071262618
"131",131,146607.872589808,3372.7299064619,19.3975037305284
"132",132,146604.538308533,3376.02581581033,19.4358756565765
"133",133,146601.200806969,3379.32486997999,19.4743230512516
"134",134,146597.860082117,3382.62707182115,19.5128460616819
"135",135,146594.516130978,3385.93242418637,19.5514448352784
"136",136,146591.16895055,3389.24092993049,19.5901195197356
"137",137,146587.818537826,3392.55259191063,19.6288702630321
"138",138,146584.4648898,3395.8674129862,19.667697213431
"139",139,146581.108003462,3399.18539601892,19.7066005194807
"140",140,146577.747875797,3402.50654387276,19.745580330015
"141",141,146574.384503792,3405.83085941401,19.784636794154
"142",142,146571.017884427,3409.15834551126,19.8237700613046
"143",143,146567.648014683,3412.48900503535,19.8629802811609
"144",144,146564.274891537,3415.82284085947,19.9022676037048
"145",145,146560.898511962,3419.15985585907,19.9416321792065
